ID,Model,RegistrationDate,ExpiryDate,Mileage
1,Ford Focus,2022-05-10,2025-09-10,45000
2,Volkswagen Golf,2021-08-22,2030-08-22,35000
3,Skoda Octavia,2020-02-15,2023-02-15,60000
4,Audi A3,2019-11-30,2023-11-30,80000
5,Mercedes-Benz C-Class,2018-06-25,2022-06-25,120000
6,Toyota Corolla,2022-10-10,2025-10-10,15000
7,Hyundai Tucson,2021-01-12,2025-12-22,55000
8,BMW 320i,2020-03-05,2023-03-05,70000
9,Opel Astra,2019-07-30,2022-07-30,90000
10,Citroën C3,2021-12-12,2028-12-12,30000
11,Peugeot 308,2020-11-17,2023-11-17,85000
12,Ford Fiesta,2018-03-25,2022-03-25,110000
13,Volkswagen Passat,2017-09-11,2022-09-11,135000
14,Renault Megane,2019-02-28,2023-02-28,65000
15,Seat Leon,2021-06-15,2024-06-15,25000
16,Mazda 3,2020-07-10,2023-07-10,70000
17,Subaru Impreza,2018-10-21,2022-10-21,95000
18,Kia Sportage,2022-04-01,2025-12-01,23000
19,Nissan Qashqai,2019-03-15,2023-03-15,75000
20,Volvo V60,2021-05-05,2024-05-05,42000
21,Fiat 500,2020-09-10,2023-09-10,68000
22,Chrysler 300C,2017-12-19,2021-12-19,140000
23,Jaguar XE,2021-07-22,2024-07-22,15000
24,Tesla Model 3,2021-01-10,2024-01-10,10000
25,Land Rover Discovery,2020-10-05,2023-10-05,85000
26,Jeep Cherokee,2019-08-20,2023-08-20,50000
27,Chevrolet Malibu,2020-12-11,2023-12-11,70000
28,Audi Q5,2021-02-13,2024-02-13,20000
29,Mercedes-Benz E-Class,2018-11-04,2026-11-04,95000
30,BMW X5,2019-04-15,2027-04-15,80000
